PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Ross, CS				Ross, Christopher S.			SHALL BUSINESSES PROFIT IF THEIR OWNERS LOSE THEIR SOULS? EXAMINING WHETHER CLOSELY HELD CORPORATIONS MAY SEEK EXEMPTIONS FROM THE CONTRACEPTIVE MANDATE	FORDHAM LAW REVIEW			English	Article							FREE EXERCISE; BURDENS; RELIGION; RIGHTS; SMITH	May for-profit, secular corporations claim the protection of the Religious Freedom Restoration Act (RFRA)? This question is central to numerous lawsuits against the federal government in which business owners argue that certain regulations under the Patient Protection & Affordable Care Act substantially burden the exercise of their religion. This Note examines the threshold hurdle that for-profit business owners must clear to successfully state a claim under RFRA: the question of whether the businesses are "persons" the statute protects. This is an issue of first impression for the U.S. Supreme Court, and it has split the circuit courts of appeal. First, this Note provides an overview of free exercise jurisprudence, with a focus on the ebbs and flows of the Supreme Court's exemption doctrine. This overview includes a discussion of the Religious Freedom Restoration Act and the laws, regulations, and religious objections that form the basis of the current disputes. Second, this Note introduces the conflict among circuit courts and their varying interpretations of whether for-profit corporations are "persons" under RFRA. Third, this Note assesses this conflict by examining RFRA's text and the context in which Congress enacted the statute. Nothing within this context precludes corporations from stating RFRA claims. In addition, this Note examines legislative history that supports application of the Dictionary Act, which explains that the word "person" in federal statutes includes corporations. This Note ultimately concludes that RFRA does indeed grant corporations the ability to seek exemptions, but that the statute will require courts to undertake the task of ascertaining the proper contours of the law as applied to different corporate forms.	Fordham Univ, Sch Law, Bronx, NY 10458 USA		Ross, CS (corresponding author), Fordham Univ, Sch Law, Bronx, NY 10458 USA.							82	0	0	0	2	FORDHAM UNIV SCHOOL LAW	NEW YORK	140 W 62ND STREET, NEW YORK, NY 10023 USA	0015-704X			FORDHAM LAW REV	Fordham Law Rev.	MAR	2014	82	4					1951	2000					50	Law	Social Science Citation Index (SSCI)	Government & Law	AU4SD	WOS:000345600900008					2022-03-30	
J	Zhang, JF				Zhang, Junfeng			From interpersonal to international: two types of translation in the making of implicitness in diplomatic discourse	PERSPECTIVES-STUDIES IN TRANSLATION THEORY AND PRACTICE			English	Article						implicitness; diplomatic discourse; interpersonal prominence; intra-lingual translation; inter-lingual translation		This article argues that constructing implicitness in diplomatic discourse involves intra-lingual translation in ST. It also argues that inter-lingually translating implicitness in diplomatic discourse sometimes involves a process of intra-lingual translation in TT. A review of implicitness in diplomatic discourse, which often demonstrates a scripted feature, shows that notions of ambiguity, fuzziness, generality, and vagueness put forward by Zhang (1998) can be employed to scrutinize the construction of implicitness via lexical choice. Viewed in terms of Hallidayian linguistics, the construction of implicitness, in both ST and TT, bears a strong interpersonal prominence. As shown in the analysis of the implicitness found in the diplomatic discourse around the 2001 Air-Collision Incident, the interpersonal prominence is governed by national interest concerns of the discourse producers. A tentative model of creating and translating lexical implicitness in diplomatic discourse is suggested. As illustrated in the model, the translation-engendered implicitness in diplomatic discourse is a textual manifestation of the interpersonal prominence in the international arena of foreign affairs.	[Zhang, Junfeng] Cent China Normal Univ, Dept English, Wuhan, Peoples R China		Zhang, JF (corresponding author), Cent China Normal Univ, Dept English, Wuhan, Peoples R China.	Davidzcn@yahoo.com						51	1	1	1	30	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0907-676X	1747-6623		PERSPECT STUD TRANSL	Perspect.-Stud. Transl.	JAN 2	2014	22	1					75	95		10.1080/0907676X.2012.718354			21	Linguistics; Language & Linguistics	Arts &amp; Humanities Citation Index (A&amp;HCI)	Linguistics	260HM	WOS:000327585600005					2022-03-30	
C	Andriotis, P; Takasu, A; Tryfonas, T		Peterson, G; Shenoi, S		Andriotis, Panagiotis; Takasu, Atsuhiro; Tryfonas, Theo			SMARTPHONE MESSAGE SENTIMENT ANALYSIS	ADVANCES IN DIGITAL FORENSICS X	IFIP Advances in Information and Communication Technology		English	Proceedings Paper	10th IFIP WG 11.9 International Conference on Digital Forensics	JAN 08-10, 2014	Vienna Univ Technol, Vienna, AUSTRIA	IFIP Working Grp 11 9	Vienna Univ Technol	SMS messages; Twitter feeds; emotion; timeline		Humans tend to use specific words to express their emotional states in written and oral communications. Scientists in the area of text mining and natural language processing have studied sentiment fingerprints residing in text to extract the emotional polarity of customers for a product or to evaluate the popularity of politicians. Recent research focused on micro-blogging has found notable similarities between Twitter feeds and SMS (short message service) text messages. This paper investigates the common characteristics of both formats for sentiment analysis purposes and verifies the correctness of the similarity assumption. A lexicon-based approach is used to extract and compute the sentiment scores of SMS messages found on smartphones. The data is presented along a timeline that depicts a sender's emotional fingerprint. This form of analysis and visualization can enrich a forensic investigation by conveying potential psychological patterns from text messages.					Andriotis, Panagiotis/I-9821-2019	Andriotis, Panagiotis/0000-0002-3490-3123; Tryfonas, Theo/0000-0003-4024-8003				20	9	9	0	5	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	1868-4238	1868-422X	978-3-662-44951-6	IFIP ADV INF COMM TE			2014	433						253	265					13	Computer Science, Information Systems; Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BB8ZT	WOS:000347890700017					2022-03-30	
C	Anggareska, D; Purwarianti, A			IEEE	Anggareska, Dekha; Purwarianti, Ayu			Information Extraction of Public Complaints on Twitter Text For Bandung Government	2014 International Conference on Data and Software Engineering (ICODSE)			English	Proceedings Paper	International Conference on Data and Software Engineering ICODSE	NOV 26-27, 2014	Inst Teknol Bandung ITB Campus, Bandung, INDONESIA	Inst Teknol Bandung, Vienna Univ Technol, ASEA Uninet, IEEE Indonesia Sect	Inst Teknol Bandung ITB Campus	information extraction; public complaints; Bandung; Twitter		Tweets about public complaints from social networking site Twitter is growing significantly. This can be an opportunity for the government, such as Bandung Government, to obtain information that is important to improve public satisfaction. This research explore and analyze how the way to obtain the public complaints information from tweets. Classification-based approach is done through two main tasks, namely named entity recognition and relation extraction. Named entity recognition experiment achieves highest f-measure of 85.6% with 8 sets of features, namely lexical, NE tags, elements of Twitter, orthography, token kind, gazetteer, clue list and stopword list. Meanwhile, relation extraction experiment achieves highest f-measure of 77.2% with 5 sets of features, namely lexical, NE tags, number of words, one word before the first entity and clue list. Maximum f-measure on the two main tasks is obtained by Sequential Minimum Optimization algorithm.	[Anggareska, Dekha; Purwarianti, Ayu] Bandung Inst Technol, Informat Engn, Bandung, Indonesia		Anggareska, D (corresponding author), Bandung Inst Technol, Informat Engn, Bandung, Indonesia.	13510050@std.stei.itb.ac.id; ayu@stei.itb.ac.id						21	1	1	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4799-7996-7				2014													6	Computer Science, Information Systems; Computer Science, Software Engineering	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BF2ZB	WOS:000380512000015					2022-03-30	
S	Ceglarek, D		Nguyen, NT		Ceglarek, Dariusz			Semantic Compression for Text Document Processing	TRANSACTIONS ON COMPUTATIONAL COLLECTIVE INTELLIGENCE XIV	Lecture Notes in Computer Science		English	Article; Book Chapter						Semantic compression; Text clustering; Semantic network; Natural language processing; Information retrieval; Plagiarism detection; Knowledge acquisition		Ongoing research on novel methods and tools that can be applied in Natural Language Processing tasks has resulted in the design of a semantic compression mechanism. Semantic compression is a technique that allows for correct generalization of terms in some given context. Thanks to this generalization a common thought can be detected. The rules governing the generalization process are based on a data structure which is referred to as a domain frequency dictionary. Having established the domain for a given text fragment the disambiguation of possibly many hypernyms becomes a feasible task. Semantic compression, thus an informed generalization, is possible through the use of semantic networks as a knowledge representation structure. In the given overview, it is worth noting that the semantic compression allows for a number of improvements in comparison to already established Natural Language Processing techniques. These improvements, along with a detailed discussion of the various elements of algorithms and data structures that are necessary to make semantic compression a viable solution, are the core of this work. Semantic compression can be applied in a variety of scenarios, e.g. in detection of plagiarism. With increasing effort being spent on developing semantic compression, new domains of application have been discovered. What is more, semantic compression itself has evolved and has been refined by the introduction of new solutions that boost the level of disambiguation efficiency. Thanks to the remodeling of already existing data sources to suit algorithms enabling semantic compression, it has become possible to use semantic compression as a base for automata that, thanks to the exploration of hypernym-hyponym and synonym relations, new concepts that may be included in the knowledge representation structures can now be discovered.	Poznan Sch Banking, Poznan, Poland		Ceglarek, D (corresponding author), Poznan Sch Banking, Poznan, Poland.	dariusz.ceglarek@wsb.poznan.pl						27	0	0	0	2	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	0302-9743	1611-3349	978-3-662-44509-9; 978-3-662-44508-2	LECT NOTES COMPUT SC			2014	8615						20	48		10.1007/978-3-662-44509-9_2	10.1007/978-3-662-44509-9		29	Computer Science, Artificial Intelligence; Computer Science, Theory & Methods	Book Citation Index – Science (BKCI-S)	Computer Science	BC3PT	WOS:000351850700003					2022-03-30	
J	Fiano, DA				Fiano, Darcy A.			Primary Discourse and Expressive Oral Language in a Kindergarten Student	READING RESEARCH QUARTERLY			English	Article							HOME LITERACY EXPERIENCES; VOCABULARY INSTRUCTION; SOCIOECONOMIC-STATUS; SKILLS; ACQUISITION; KNOWLEDGE; STORIES; SCHOOL	This seven-month ethnographic case study elucidated a kindergarten student's navigation through her first formal schooling experience with relation to expressive oral language. Gee's theory of Discourses and methodology of discourse analysis were used to examine expressive oral language in use. Two discursive contexts germane to expressive oral language were observed: Discourse of home and Discourse of school. This study demonstrated the complexity of expressive oral language when a primary Discourse converged with the secondary Discourse of school. Primary data sources included participant observation, audiotaped observations, and field notes, resulting in transcripts and an individual participant dictionary. Critical incidents of oral language samples were analyzed through language-in-use discourse analysis focused on the seven building tasks, significance, practices (activities), identities, relationships, politics, connections, and sign systems and knowledge, and six tools of inquiry, social languages, Discourses, Conversations, intertextuality, situated meanings, and figured worlds. Secondary data sources included interviews, document/artifact collection, and a researcher journal, providing detail for rich, descriptive narratives of contexts of her language in use and detailed descriptions of the home and school contexts and the participant in these settings. Data suggest that a kindergarten student's primary Discourse as it pertains to expressive oral language manifests itself in varying ways at the point of juncture with the secondary Discourse of school. Alignment, dominance, discord, and hybridity existed as her primary Discourse and school Discourse converged through expressive oral language. The point of juncture for expressive oral language expanded and limited her discursive abilities in both Discourses. ????,???????2004?2012???,??????????(CDA)???????????????????????????????????????????????????,??????????,????????????????????????????????,?????????????,????????,??????,????????????,???????????????????????????,???????????????????????????76????????????????????,?????????,???????????????????????,?????????????,?????????????????????????????,??????????????????????????;????????????????????????????????????????????????????????????????????????:???????????,????????????????,?????????????????2005?????????????,??????????????????????????????,???????????????? Este articulo es un analisis critico e integrado de la literatura sobre estudios de alfabetizacion desde 2004 hasta 2012 que se sirve del analisis del discurso critico (CDA por sus siglas en ingles). Se discuten cuestiones clave, tendencias, y la critica del campo. Nuestra metodologia consta de tres fases. Primero, usamos bases de datos educacionales para encontrar investigacion sobre la alfabetizacion basada en CDA. Segundo, llenamos una plantilla de evaluacion critica para cada articulo y codificamos la informacion a una hoja de calculo digital para determinar macro tendencias en el campo. Tercero, desarrollamos esquemas para interpretar la complejidad de los problemas relacionados con el diseno de la investigacion. Nuestro examen de 76 estudios empiricos basados en la alfabetizacion y estudios teoricos en publicaciones academicas revela tendencias en las cuestiones que los investigadores consideran lo suficientemente interesante como para investigar, las teorias que consideran utiles, y el tipo de interacciones que les atrae la atencion. Nuestros resultados indican que la investigacion basada en CDA se ha hecho en muchas areas de estudios sobre la alfabetizacion, incluyendo polizas, escritura academica, el entrenamiento de maestros de alfabetizacion, el desarrollo profesional, el contenido de libros de texto, el diseno de cursos, el asesoramiento, y la educacion bilingue. Examinaos cuatro areas fundamentales en el campo que estan especialmente listas para el debate y la critica: contexto, reflexividad, accion social, y la postura de deconstruccion/construccion hacia la indagacion. En la discusion comparamos los resultados de este analisis de la literatura con un analisis anterior publicado en 2005, reflexionando sobre las tres decadas de CDA en los estudios de alfabetizacion. Identificamos direcciones para investigaciones futuras. ??? ????? ??? ?????? ???????? ???? ????? ???? ???? ????? ????? ?? ?????? ????? ??? ????? ????? ??? ??????? ??? ????? ??????? ???????. ??? ?? ??????? ????? ???????? ?????? ????? ?????? ??? ?? ???? ??????? ????? ??????? ???????. ??? ??? ?????? ?????? ??????? ??? ??? ????? ?????? ??????? ???????: ???? ????? ????? ??????. ?????? ??? ??????? ????? ????? ??????? ??????? ??? ????? ???? ????? ????? ????? ??????. ????? ????? ???????? ?????? ????????? ???????? ????? ?????? ???????? ??????? ????? ?? ??? ??? ????? ????? ?????? ????. ??? ?? ????? ????? ????? ?????? ????? ????? ?????? ????? ???? ??????? ????? ??????? ??? ?????? ?????? ?????? ???????? ?????????? (???????) ???????? ????????? ????????? ?????????? ?????? ???????? ???????? ?????? ????????? ????? ??????? ?????????? ????????? ?????????? ??????? ???????? ??????? ??? ?????? ???????? ??????????. ????? ????? ???????? ???????? ??????? ???? ???????/??????? ??????? ????? ??????? ???? ??? ?????? ???????? ?????? ???????? ??????? ??????? ????? ????? ??? ????? ????? ??????? ????????? ?? ??? ????????. ?? ???????? ???? ??? ?? ???? ????? ???? ????? ??? ????? ?????? ??????? ??????? ????? ?? ??? ????? ??? ??????? ????? ?????? ???????. ???? ???????? ??????? ???????? ??????? ???????? ?? ?????? ?????? ??????? ????? ?????? ?????? ????? ??????? ???????. ??? ????? ???? ???????? ???? ??????? ??????? ?????? ???????? ???????? ?? ??? ????????. B c?a??e ?pe?c?a??e? kp??eck? o??op ?ay??o? ??epa?yp? ? o??ac? ?pa?o??oc?, o?y??ko?a??o? c 2004 ?o 2012 ?o? cxo???e? ? CDA - kp??ecko?o ?ckypc-a?a??a. O?cy??a??c? k???e??e ?o?poc?, ?e??e? kp?ka ?x ?y??ka?. A?a?? ?poxo?? ? ?acko??ko ?a?o?. Bo-?ep??x, ???a cc?e?o?a?a ?a?a ?a???x ?o o?pa?o?a?? ? ?ockax ?y??ka? o ?pa?o??oc? ?a oc?o?e ?ckypc-a?a??a. Bo-??op?x, ??? oe?k ?akpo?e??e?? ? ?a??o? o??ac? ??? pa?pa?o?a? a?a???eck? ?a??o? o??opa ??? ka??o? c?a??, ?o?y?e???e ?a???e ?ako?po?a?? ??e?e?? ? ?a??y. B-?pe??x, pa?pa?o?a?? cxe?? ??? ??ep?pe?a c?o??oc?e?, c???a???x co c?pyk?ypo? cc?e?o?a??. A?a?? 76 ??p?eckx cc?e?o?a?? ?eope??eckx c?a?e? ? aka?e??eckx ?yp?a?ax ?e?o?c?ppye? ?e??e? ?o k???e??? ?o?poca?, a ?ak?e ?ce, ??o a??op? co?? ??epec??? ?oc?o???? cc?e?o?a??. O??apy?e?o, ??o CDA c?o???ye?c? ?o ??o?x pa?o?ax, ?oc???e???x o??e?? ?epe? c?o?o, ? ?o? ?c?e ?o ?ak? ?e?a?, kak ?o??ka, aka?e??ecka? ?c??e??a? pe??, ?o??o?o?ka y??e?e? c?o?ec?oc?, ?po?ecco?a???oe pa???e, co?ep?a?e y?e??ko?, y?e???e ?po?pa???, oe??a?e ??y?????oe o?pa?o?a?e. A??op? pacc?a?p?a?? ?e??pe oc?o?o?o?a?a??x o??ac? cc?e?o?a??, ?????a??x oco?e??o pe?ke c?op? kp?ky: ko??ekc?, pe??ekc?, coa???a? ?e??e???oc?? ?eko?c?pyk?/peko?c?pyk? ?o??a??. Cpa???a? pe?y???a?? ?a??o?o o??opa c ?o?ee pa??? o??opo? 2005 ?o?a, a??op? pa???????? ?a? ?pe?? ?ec???e??? c?o???o?a?? CDA ? o??ac? c?o?ec?oc? o?pe?e???? ?o??o???e ?a?pa??e?? ?y?y?x cc?e?o?a??. Cet article est une revue critique de l'ensemble des etudes menees sur la litteratie de 2004 a 2012 qui s'appuie sur une analyse critique du discours (ACD). Y sont discutees les questions-cle, les tendances, et les critiques du champ. Nous avons procede en trois temps. Tout d'abord, nous avons examine les bases de donnees en education afin de localiser les travaux centres sur l'ACD de la litteratie. En second lieu, nous avons elabore un modele de revue analytique pour tous les articles et avons encode les donnees dans un fichier numerique afin d'evaluer les macro-tendances du champ. En troisieme lieu, nous avons developpe des schemas pour interpreter les questions complexes liees au dispositif de recherche. L'examen des 76 recherches empiriques centrees sur la litteratie ainsi que des textes theoriques dans les revues scientifiques fait apparaitre des tendances dans les questions que les chercheurs trouvent assez interessantes pour leur donner suite, les theories qu'ils trouvent utiles et les types d'interactions qui les interessent. Nos resultats montrent qu'une ACD a ete effectuee dans de nombreux domaines des etudes sur la litteratie, y inclus la politique, l'ecriture scientifique, la formation des maitres en litteratie, la formation professionnelle, le contenu des manuels, les programmes scolaires, l'evaluation et l'enseignement bilingue. Nous explorons quatre domaines fondamentaux dans ce champ qui sont particulierement propices au debat et a la critique: le contexte, la reflexivite, l'action sociale, et la position constructive-reconstructive envers l'enquete. Dans la discussion, nous comparons les resultats de cette revue de la litterature avec une revue de question precedente publiee en 2005, et reflechissons a trois decennies d'ACD dans les etudes de litteratie. Nous indiquons des pistes pour de futures recherches.	Univ Connecticut, Dept Curriculum & Instruct, Storrs, CT 06269 USA		Fiano, DA (corresponding author), Univ Connecticut, Dept Curriculum & Instruct, Storrs, CT 06269 USA.	darcy.fiano@uconn.edu	Fiano, Darcy Anne/H-8329-2019					67	1	1	2	51	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0034-0553	1936-2722		READ RES QUART	Read. Res. Q.	JAN	2014	49	1					61	84		10.1002/rrq.64			24	Education & Educational Research; Psychology, Educational	Social Science Citation Index (SSCI)	Education & Educational Research; Psychology	284OE	WOS:000329328100003					2022-03-30	
C	Flaiser, M		Sandu, A; Frunza, AC		Flaiser, Mariana			Romanian Terms for Less Common Feminine Professions	LUMEN 2014 - FROM THEORY TO INQUIRY IN SOCIAL SCIENCES	Procedia Social and Behavioral Sciences		English	Proceedings Paper	4th International Conference on Logos University Mentality Education Novelty (LUMEN)	APR 10-12, 2014	Lasi, ROMANIA	Lumen Res Ctr Social & Humanist Sci		scientific publishing; identity; personality		For millennia, the woman has been marginalized by society, her place being near children and husband and less within the male-dominated world, the one of business, politics, and economy. The mentalities of the community, the traditions and the prejudices have led to laws restricting the right of women to work, in general, or to practice certain professions. Regarding the professions exercised by women throughout history, there is in the Romanian language a rich terminological material, which can prove, on one hand, a socio-economic reality - persistent discrimination against working women, and on the other hand, the lexical processes underlying the structure of the class of feminine names of professions. The knowledge of the contemporary Romanian society's spirituality, of the nation's aspirations, is emphasized by the states in which the "working woman" appears. Moreover, sociologists emphasize the fact that, in time, although the women's emancipation led to the broadening of the horizon as far as choosing a profession goes, there continues to exist a clear discrimination against women in the practice of some professions and, especially, the possibility of occupying leadership positions. Our paper, made based on an inventory of terms excerpted from various documents of the sixteenth century - until the nineteenth century, but also from texts of the current Romanian language, highlights the fact that feminine names of professions represent a heterogeneous lexical group, both in terms of form and terms of provenance. (C) 2014 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/3.0/).	[Flaiser, Mariana] Univ Med & Pharm Gr T Popa Iasi, Iasi, Romania			marianaflaiser@yahoo.com						13	0	0	0	0	ELSEVIER SCIENCE BV	AMSTERDAM	SARA BURGERHARTSTRAAT 25, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	1877-0428			PROCD SOC BEHV			2014	149						344	348		10.1016/j.sbspro.2014.08.267			5	Social Sciences, Interdisciplinary	Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Social Sciences - Other Topics	BB8CS	WOS:000346372600062		gold			2022-03-30	
C	Galeev, T		Chova, LG; Martinez, AL; Torres, IC		Galeev, T.			APPLICATION OF LINGUISTIC TYPOLOGY IN TRAINING OF RUSSIAN FOR FOREIGN STUDENTS. HOW CAN LANGUAGE TYPOLOGY DATABASES BE USEFUL IN STUDYING LANGUAGES?	EDULEARN14: 6TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES	EDULEARN Proceedings		English	Proceedings Paper	6th International Conference on Education and New Learning Technologies (EDULEARN)	JUL 07-09, 2014	Barcelona, SPAIN			foreign language; linguistic typology; comparative linguistics; organization of education; phonetics; speaking proficiency		The article describes the opportunities of using data on language typology for improvement of foreign students' training of Russian language on elementary and basic levels. Using the identification of relationship between languages methodology called Jazyki Mira ("Languages of the word") (JM) related to World Atlas of Language Structures (WALS) could be useful for making individual training programs based on the common knowledge of student's native language. These databases consists of chapters based on grammatical features and components of eight main sections: Phonology, Morphology, Noun category, Noun syntax, Verb categories, Word order, Simple sentence, Complex sentence. There are also sections on writing systems. Each section represents lexical typology. Russian language has options available in some languages but absents in other ones: e.g. there are no Uvular Consonants and Prefixes in Norwegian; Hindi has no Reduction of unstressed vowels; Dutch has no grammatical Neuter Gender; there are no grammatical categories of Aspect, Mood and Voice in Greek; using free Word order in a sentence is impossible in Chinese. Using data of language typology it is possible to compare abstract features of the language system across unrelated languages. The method of finding some similar linguistic realities in the student's native language contributes to rapid understanding and memorizing of the training material. Depending on what phonetic, grammatical and syntactical features of Russian exist in the student's native language you can develop the resource that will help the teacher in creating of certain textbooks and manuals. The work is performed according to the Russian Government Program of Competitive Growth of Kazan Federal University.	[Galeev, T.] Kazan Fed Univ, Kazan, Russia		Galeev, T (corresponding author), Kazan Fed Univ, Kazan, Russia.		Galeev, Timur I./I-1838-2014	Galeev, Timur I./0000-0002-7322-6225				13	5	5	0	3	IATED-INT ASSOC TECHNOLOGY EDUCATION A& DEVELOPMENT	VALENICA	LAURI VOLPI 6, VALENICA, BURJASSOT 46100, SPAIN	2340-1117		978-84-617-0557-3	EDULEARN PROC			2014							5995	6005					11	Education & Educational Research	Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Education & Educational Research	BE0SP	WOS:000366837206001					2022-03-30	
J	Genovese, F				Genovese, Federica			States' interests at international climate negotiations: new measures of bargaining positions	ENVIRONMENTAL POLITICS			English	Article						climate cooperation; climate change negotiations; bargaining positions; UNFCCC	POLICY; PREFERENCES; MODEL; COOPERATION; DEMOCRACIES; POLITICS; HISTORY; WORDS; KYOTO; POWER	To advance empirical research on international environmental institutions, new data on national positions at the international climate change negotiations are introduced. The observations cover more than 90 countries at two historical moments of climate change decision making: the pre-Kyoto Protocol enforcement (2001-2004) and the post-Kyoto Protocol (2008-2011) meetings. Data were collected from different types of written text. Coding entailed a qualitative (dictionary-based) content analysis and a quantitative text analysis. By systematically exploring these new data, I offer a 'map' of national preferences at the United Nations Framework Convention on Climate Change (UNFCCC). I also propose a discussion of the dimensions of conflict and policy competition over 10 years of climate negotiations.	Stanford Univ, Dept Polit Sci, Stanford, CA 94305 USA		Genovese, F (corresponding author), Stanford Univ, Dept Polit Sci, Stanford, CA 94305 USA.	Fgenoves@stanford.edu	Genovese, Federica/E-5919-2015	Genovese, Federica/0000-0002-7107-2744				47	13	13	0	21	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0964-4016	1743-8934		ENVIRON POLIT	Environ. Polit.		2014	23	4					610	631		10.1080/09644016.2014.904068			22	Environmental Studies; Political Science	Social Science Citation Index (SSCI)	Environmental Sciences & Ecology; Government & Law	AP5RV	WOS:000342137300005		Green Accepted			2022-03-30	
S	Hill, PM		Gutschmidt, K; Kempgen, S; Berger, T; Kosta, P		Hill, Peter M.			Formation of the Standard Language: Macedonian	SLAVIC LANGUAGES, VOL 2: INTERNATIONAL HANDBOOK OF THEIR STRUCTURE, THEIR HISTORY AND THEIR INVESTIGATION	Handbucher zur Sprach und Kommunikationswissenschaft		English	Article; Book Chapter								In the 19th century a number of churchmen in Macedonia wrote sermons and primers in a form of Slavonic that was close to vernacular speech. These can be seen as the first texts of written Macedonian, although their authors did not intend to create a new literary language. The first document of explicit Macedonian linguistic and political separatism is Recnik od tri jezika (1875). In his book Za makedonckite raboti Krste P. Misirkov (1874-1926) advocated a literary language based on the Prilep-Bitola dialect, but the book was never distributed. After the partition of Macedonia (1913) Macedonian literary activity was tolerated in Bulgaria and Yugoslavia as "dialect literature". There were thriving theatre groups in Skopje and Sofia and Koco Racin from Veles wrote poetry that has retained its literary value. The communist partisans used the local dialects in their pamphlets in Vardar Macedonia during the Axis occupation and in 1944 they declared that Macedonian would be the official language of the new Macedonian republic. The decisive codificational steps were Koneski's grammar (1952-1954) and the 'academy dictionary' (1961-1966). Independence has terminated the Serbian/Macedonian diglossia that was characteristic of Vardar Macedonia in the 20th century. There have been various attempts to codify Macedonian in the diaspora.										20	0	0	0	0	DE GRUYTER MOUTON	BERLIN 11	GENTHINER STR 13, POSTF 110240, W-1000 BERLIN 11, GERMANY	1861-5090		978-3-11-021547-2; 978-3-11-017153-2	HANDB SPRACH KOMMUN			2014	32	2					1470	1477			10.1515/9783110215472		8	Linguistics; Language & Linguistics	Book Citation Index – Social Sciences & Humanities (BKCI-SSH)	Linguistics	BE5TY	WOS:000373428600030					2022-03-30	
