Zeitstempel;This is the title of the Study;These are the Authors;"Please scan the text. 
Does the study fulfil the eligibility criteria?
- Empirical Study
- Field of Political Communication
- Using Text as Data Method to operationalise a construct of interest 

You may come back to this question if you have started to fill in some fields as well";If no: Why is the study out of scope?;What is the data source? ;What is the data language?;If others: Name all languages in the data? If there is more than one language assessed, please separate languages by a comma (,);"Please name the target construct as described by the authors)
Note: Please use the exact wording of the authors, such as ""affective polarization"", ""semantic complexity"".
If there is more than one construct studied, please separate constructs by a comma (,)";What Type(s) of method are initially applied? ;What is the name of the method? If there is more than one method applied, please separate methods by a comma (,);What is the outcome of the method?;Do you have any comments on the study design? ;If yes: What are your comments on the study design?;Are steps of validation reported? ;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field, so that the whole validation procedure is copied! ";"What step of validation exercises is reported? 
Please report the brief description by the authors (e.g., in the abstract, in the introduction, or at the beginning of the method/validation section). This can also include just a term (e.g. face validity), but should not be longer than one sentence.
";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";What type of Validation exercise does this refers to? ;;Is there another validation step reported in the paper?;In what paragraphs are issues of measurement validity / robustness checks / […] reported? Please copy them into the open field! ;"What step of validation exercises is reported? 
(As described by the authors)";What type of Validation exercise does this refers to? ;Is there another validation step reported in the paper?;Is there a link to an Appendix/additional Materials/GitHub repository? ;"
Is the data for the analysis accessible? ";Is the code for the analysis accessible?;Any Comments on Open Science Standards?;E-Mail-Adresse
04.10.2022 06:53:32;Campaigning in the fourth age of political communication. A multi-method study on the use of Facebook by German and Austrian parties in the 2013 national election campaigns;"Magin, Melanie; Podschuweit, Nicole; Haßler, Jörg; Russmann, Uta";No;There is no real computer-assisted text method applied. The authors' content analysis is mere counting of specific features of different Facebook-accounts.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;david.gruening@gesis.org
04.10.2022 06:56:16;Testing the Validity of Automatic Speech Recognition for Political Text Analysis;"Proksch, Sven-Oliver; Wratil, Christopher; Wäckerle, Jens";No;"The paper only discusses/shows speech recognition methods for transcription; no text analysis beyond that is deployed.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;david.gruening@gesis.org
04.10.2022 07:02:25;A Pairwise Comparison Framework for Fast, Flexible, and Reliable Human Coding of Political Texts;"Carlson, David; Montgomery, Jacob M.";No;Only development of a method paper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;david.gruening@gesis.org
04.10.2022 07:06:30;Twitter and News Gatekeeping: Interactivity, reciprocity, and promotion in news organizations’ tweets;Russell, Frank Michael;No;Human coding as the core method of this paper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;david.gruening@gesis.org
04.10.2022 07:30:11;Information Credibility under Authoritarian Rule: Evidence from China;Chang, Charles;No;The paper's text analysis is human coding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;david.gruening@gesis.org
04.10.2022 07:57:22;Estimating Spatial Preferences from Votes and Text;"Kim, In Song; Londregan, John; Ratkovic, Marc";Yes, Continue with Coding;;Politics: Parliamentary Records;English;;Spatial preferences;Unsupervised: Text Scaling, Probabilistic principal component analysis;Sparse factor analysis (SFA);;No;;Yes;Before applying the method, let us consider the applicability of SFA in this case. First, voting is not always sincere in the US Senate, as there are always motions to recommit, etc. We note, though, that ideal point estimates from the US Congress have been used extensively in other studies and possess high face validity. To be particularly careful, if a bill is voted on several times due to different motions, we only include the final vote in our analysis.;We note, though, that ideal point estimates from the US Congress have been used extensively in other studies and possess high face validity.;Content Validation;Yes;In Section 3, we apply our estimator to Congress, and we implement several methods for assessing internal and external validity, methods that analysts might want to use as checks when using SFA.;In this section, we apply SFA to recent US Senate data. The analysis proceeds in three steps. First, we describe the data and discuss the viability of SFA in this context. Second, we apply the method to the contemporary US Senate. Third, we simulate a “strong-party” system where we use SFA to use text data to gain leverage on rank-and-file ideal points even in the presence of party line voting and heavy missingness in the vote data.;Content Validation;No;;;;;;;;;;;;;;;;;;Yes;Yes;No;;david.gruening@gesis.org
04.10.2022 08:04:48;Right-Wing, Populist, Controlled by Foreign Powers? Topic Diversification and Partisanship in the Content Structures of German-Language Alternative Media;"Müller, Philipp; Freudenthaler, Rainer";Yes, Continue with Coding;;Newspaper;English;;Topic diversification;Unsupervised: Topic Modeling;LDA topic modeling;;No;;Yes;"In the last step, two researchers independently validated and labeled the topics of the 70-topic solution based on an in-depth reading of the documents, using both lists of the most common words in each topic (at k 1⁄4 .6, see Sievert and Shirley 2014, 67) and full articles with the highest k under each topic and coherence indicator to guide their decisions; they discussed their independent assessments to arrive at the final set of topics. During this step, boilerplate topics (which occur in many articles and are not internally coherent, see DiMaggio, Nag, and Blei 2013, 568; Maier et al. 2018, 108) were removed and similar topics were grouped together, resulting in 14 groups of topics encompassing the 66 remaining topics, which are summarized in Table 1.";two researchers independently validated and labeled the topics of the 70-topic solution based on an in-depth reading of the documents;Content Validation;No;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;;david.gruening@gesis.org
04.10.2022 08:17:58;Connecting the (Far-)Right Dots: A Topic Modeling and Hyperlink Analysis of (Far-)Right Media Coverage during the US Elections 2016;"Kaiser, Jonas; Rauchfleisch, Adrian; Bourassa, Nikki";Yes, Continue with Coding;;Newspaper;English;;(Far-)right media coverage of topics;Unsupervised: Topic Modeling;Structural topic model analysis (STM);;No;;Yes;We randomly selected 100 articles and automatically assigned the topic with a probability above 0.49 to the article. Two coders without specific training coded the topics. The intercoder-reliability score between the two coders and the topic model was with a Krippendorff’s alpha of 0.67 acceptable for our case. When the more generic Republican topics are merged the alpha is even over 0.7. This is surprisingly high as most documents have a mix of topics (e.g., economy and republican primaries).;The intercoder-reliability score between the two coders and the topic model was with a Krippendorff’s alpha of 0.67 acceptable for our case.;External: Human Annotated Scores;No;;;;;;;;;;;;;;;;;;;;;;No;;;;david.gruening@gesis.org
04.10.2022 10:03:25;Measuring Agenda Setting in Interactive Political Communication;Rossiter, Erin L.;Yes, Continue with Coding;;Politics: Parliamentary Records, in-person and online discussions;English;;Relative agenda-setting power of actors;Unsupervised: Topic Modeling;Parametric Speaker Identity for Topic Segmen- tation (SITS);;No;;Yes;I next explore agenda setting within three different inter- active political communication. First, with U.S. presiden- tial debates, I show that SITS can be used to test theories about the topics actors should favor in electoral debates. Second, using in-person deliberations, I shift emphasis from the topical agenda to who can set the agenda. I val- idate that participants who SITS identifies as setting the agenda indeed shift attention to their ideas, and do not do so by simply interrupting or out-talking others. And third, using a novel online discussion study, I show that agenda setting can shape the outcomes of political inter- actions.;Three empirical applications also validate the agenda-setting measure within different political settings: U.S. presidential debates, in-person deliberations, and online discussions.;Content Validation;Yes;To assess if SITS can accurately identify where latent shifts in topic occur, I classify a speaking turn as shift- ing topic if the posterior probability of a shift is greater than or equal to 0.50. I then compare where shifts were inferred by SITS to where topic changes were prompted by the researchers. SITS identifies 81.40% of the loca- tions that begin a new prompted topic segment by the re- searcher.7 I check for an SITS-inferred topic shift within two speaking turns after a researcher-prompted shift be- cause often after reading the prompt, the first few speak- ing turns would simply answer the prompt’s question by saying “yes,” “no,” or “do you want to go first?” Instead of classifying this as a topic shift, SITS would classify a subsequent speaking turn that actually began discussing the topic at hand as a shift.;The first exercise provides evi- dence that SITS can accurately identify where latent shifts in the agenda occur.;External: Human Annotated Scores;Yes;The topic intrusion task presents the human judge with a document, in this case a segment inferred by SITS. The judge is also presented with four word sets. Three of these word sets represent the three highest prob- ability topics for the segment. The fourth word set is the intruder, drawn randomly from the segment’s low probability topics. Each word set contains the top eight frequent and exclusive (FREX) topwords for the topic (Roberts et al. 2014). I set up the topic intrusion task for 200 randomly drawn segments from the debates. Then, Amazon Mechanical Turk (MTurk) workers were asked to choose which word set was most unrelated to the passage. In line with recent work on validation proce- dures for topic models by Ying, Montgomery, and Stew- art (2019), I ran two trials of the same 200 tasks. Fig- ure 2 plots the results for each trial separately as well as the pooled result.;Second, using crowdsourced hu- man judgments, I validate that SITS can infer semanti- cally meaningful latent topics.;External: Human Annotated Scores;Yes;Next, I validate that SITS can identify coherent segments of an interaction. To do so, I follow a procedure pro- posed by Grimmer and King (2011) to evaluate “clus- ter quality,” which is the similarity of the documents (here, segments of the debates) estimated to belong to the same cluster (here, having similar topic distributions). Importantly, I evaluate SITS segments against segments derived from a hand-coding approach. Hand-coded data are from Boydstun, Glazier, and Pietryka (2013) for the 1992, 2004, and 2008 U.S. general election presidential debates. Boydstun, Glazier, and Pietryka hand code sev- eral variables from the debate transcripts, including the topic of each question posed to the candidates and the topic of each phrase in the candidates’ responses. Then, they deem a candidate as going “off-topic” and thus, en- gaging in agenda-setting behavior, if the phrase’s topic does not correspond to the question’s topic.;Finally, I assess the interre- lated nature of where shifts in topic occur and the topics themselves by examining the resulting segments of an in- teraction.;External: Human Annotated Scores;No;;;;;;;;;;Yes;Yes;No;;david.gruening@gesis.org
04.10.2022 10:22:56;Machine Translation Vs. Multilingual Dictionaries Assessing Two Strategies for the Topic Modeling of Multilingual Text Collections;"Maier, Daniel; Baden, Christian; Stoltenberg, Daniela; De Vries-Kedem, Maya; Waldherr, Annie";Yes, Continue with Coding;;Newspaper, Social Media: Twitter;Others;English, Hebrew, Arabic;Conflict-related topics;Unsupervised: Topic Modeling, Rule-based: Off-the-shelf dictionary, Machine translation;Structural Topic Models (STM), INFOCORE, Google Translate API;;No;;Yes;"For the quantitative comparison, we calculated the extent to which different topic models obtained from the respective methodological approaches break down the variation included in each corpus in similar ways. To do so, we use the Correlation Matrix Distance (CMD), a distance measure designed to determine the (dis)similarity between two quadratic correlation matrices (Herdin et al., 2005; Motta & Baden, 2013). Theoretically, the CMD ranges from one (no association between both matrices) to zero (both correlation matrices are identical, up to a scale factor).
For this estimation, we depart from the compared topic models’ n x k-sized document-topic (θÞ matrices, wherein each of the n 1⁄4 1; . . . ; N rows correspond to a document in the respective corpus, and each of the k 1⁄4 1; . . . ; K columns to a topic in the respective topic model. In these matrices, the cell entries θnk represent the probability of document n to contain a given topic k – usually interpreted as the topic proportion that the respective document contains. Since the identity of the compared topics is uninformative for the comparison (i.e., one can permutate the order of topics (columns) in each matrix without changing the structural similarity), we transform the raw θ matrices into quadratic correlation matrices by calculating the dot product of θ with its transpose θT. As a result, we obtain, for each topic model, an n x n matrix C that reflects the extent to which different documents are composed of the same topics. The CMD then computes the distance between each pair of matrices C, which provides a direct measure of the extent to which the topics obtained by two compared topic models are distributed in (dis)similar ways over the same set of documents. Since the dimensionality of C depends solely on the number of the n documents, this transformation allows us to compare the θ’s of different topic models independently of their number of topics K. Formula 1 defines the CMD for the two correlation matrices CMTand CMD that result from the two methods under investigation, as denoted by their subscripts.";For the quantitative comparison, we calculated the extent to which different topic models obtained from the respective methodological approaches break down the variation included in each corpus in similar ways.;External: Scores from other CATM;Yes;"For the qualitative comparison, we first selected one best-fitting model per corpus and approach. Among all estimated topic models, we focused on those five models that offered the best fit based on the evaluation metrics offered by the STM package (K 1⁄4 f10; 15; 20; 25; 30g for both corpora and both methods). Two of the authors jointly judged these models’ interpretability, inspecting their top associated words (MT approach) and concepts (MD approach). Based on this information, we selected for the News corpus those topic models obtained for K = 25 (independently for both MT and MD), and for the Twitter corpus those models obtained for K = 30, for further validation. For these selected models, all topics were then carefully labeled and validated by the same two researchers. To ascertain the validity of topics and their labels, we selected for every topic a random sample of ten documents with a topic probability above a threshold of t 1⁄4 0:3. Given that only few topics are prevalent in a single document, the threshold can be considered sufficiently high for a topic to be the most prevalent in the respective documents (see also Maier et al., 2018). Topics were confirmed as interpretable and labeled if, through a discursive process, both judges agreed on the same interpretation, which had to be supported both by the identified top words/concepts and by the inspected documents, read against our familiarity with the conflict and the referenced events.";Topics were confirmed as interpretable and labeled if, through a discursive process, both judges agreed on the same interpretation, which had to be supported both by the identified top words/concepts and by the inspected documents, read against our familiarity with the conflict and the referenced events.;Content Validation;No;;;;;;;;;;;;;;;;;;Yes;No;No;;david.gruening@gesis.org
04.10.2022 11:00:23;Latent Semantic Scaling: A Semisupervised Text Analysis Technique for New Domains and Languages;Watanabe, Kohei;Yes, Continue with Coding;;Newspaper;Others;English, Japanese;Polarity score by semantic proximity between words;Supervised: Machine Learning;Latent Semantic Scaling (LSS);;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;;;;david.gruening@gesis.org
04.10.2022 11:56:02;A General Model of Author “Style” with Application to the UK House of Commons, 1935–2018;"Huang, Leslie; Perry, Patrick O.; Spirling, Arthur";Yes, Continue with Coding;;Politics: Parliamentary Records;English;;Distinctiveness;Multinomial naive Bayes approach;Multinomial naive Bayes approach;;No;;Yes;"One basic requirement is that our method ought to label “intrusive” texts, i.e. ones that were not clearly produced by the parliamentary data generating process, as distinctive. To put this to the test, we took the set of backbenchers from a modern session (2015–2016) added to them the State of the Union speeches given by U.S. President Barack Obama. We randomly sampled n “speeches” of m sentences each from the SotU speeches, where n is the mean speeches per MP and m is the mean speech length in sentences for the 2015 session. After inserting Obama in the corpus, we select the vocabulary using our standard cross-validation procedure. We used Obama because although his works are approximately contemporaneous with our data, his style is distinctive relative to our MPs: they come from an American rather than British political system, and they are long oratories consumed by the general public rather than speeches directed primarily at other politicians. With that in mind, our model should identify Obama as easily the most distinctive author. As we see from Figure 1, this is indeed the case: Obama’s 􏱉t point estimate is by far the largest in the data and appears at the far top right. Its confidence interval does not overlap with any other MP in the distribution (note that we do not include every MP in the graphic due to limited space, but we do include the full range in terms of distinctiveness estimates).
7
Of course, such a test might be cherry-picking, and there is no obvious baseline for performance (other than identifying the intruder).7 So we now turn to a domain-specific assessment.";One basic requirement is that our method ought to label “intrusive” texts, i.e. ones that were not clearly produced by the parliamentary data generating process, as distinctive.;Content Validation;Yes;"For more substantive performance evaluation, we look at the “most distinctive” and “least distinctive” backbench MPs for the parliamentary sessions on either side of Blair’s election landslide in 1997 (that is, 1995–1996 and 1998–1999). This has the advantage of being a period in which (a) control of the Commons switched (from Conservative to Labour), meaning we have variation in the party of the backbenchers, and (b) there are academic accounts which help ground our understanding of MPs at this time (Cowley 2002; Spirling and Quinn 2010; Kellermann 2012). In terms of measurement, we use a convergent validity approach: we compare our measure to another (computed independently) and show that they are related as expected.";In terms of measurement, we use a convergent validity approach: we compare our measure to another (computed independently) and show that they are related as expected.;External: Scores from other CATM;Yes;"Finally, with respect to a broader understanding of validity, we ask what exactly we are capturing as “distinctiveness” in our measure? As regards our comments at the opening of Section 2, is it mere “phrasing” (different ways of saying the same thing) or “substance” (saying something different)? Put more directly with respect to the extant literature, does our model “improve” (in fit terms at least) over the original Mosteller and Wallace (1963) approach and capture something more than function word usage?
To assess this, we conducted a simple experiment. We ran a special case of the estimation using only the seventy function words (i.e. stop words) from the original Mosteller and Wallace (1963) study. Our contention is that if our model is simply capturing idiosyncratic stylistic differences (in the narrow sense meant in that earlier literature), the restricted version should perform approximately as well as the more general one that uses all words in the vocabulary. Studying Figure 2, we see this is clearly false: there, the bottom line with triangle points is the mean prediction rate (for each speaker, with fivefold cross-validation) from the stop word model. The top line is the mean prediction rate from our model, which has no restrictions on stop words (as in the rest of this paper). It performs about three to five times as well as the pure phrasing model, on average. This implies that there is certainly something more than expressive manner going on: we happily refer to that residual variation as “substance.” This does not mean, of course, that the Mosteller and Wallace (1963) approach vocabulary is “wrong” (it is just a special case of ours), but it does suggest our model is doing something statistically useful in terms of capturing practical variation between contemporaneous MPs.";We ran a special case of the estimation using only the seventy function words (i.e. stop words) from the original Mosteller and Wallace (1963) https://doi.org/10.1017/pan.2019.49 Published online by Cambridge University Press study.;External: Scores from other CATM;No;;;;;;;;;;;;;;Yes;No;No;;david.gruening@gesis.org
